comment,sentiment,dominant_construct
temen-temen yang mau prompt yang kupakai silahkan kunjungi,neutral,Performance Expectancy
harus pake vpn?,neutral,Effort Expectancy
"mas,bahas tune ai mas,peraturannya agak ribet,g simple kyk 2025...",negative,Performance Expectancy
trus solisinya apa buat kami yang pemburu gratisan,neutral,Performance Expectancy
"please mas,bantu kami..",neutral,Performance Expectancy
"email asli saya pernah menggunakan trial tapi kreditnya sudah habis,saya ganti email baru kok g bisa dapet trial gratisan lagi ya,bagaimana caranya biar dapet",neutral,Performance Expectancy
pikiran nya udah jaaht duluan,neutral,Performance Expectancy
gw tidak bsa install vpn yang di chromenya,negative,Performance Expectancy
bang mau nanya aku ada tugas video ai disuruh bahas tentang kerajaan dan durasi nya lumayang panjang 7 menitan itu gimana ya bang,neutral,Performance Expectancy
"bang ko punya ku g ada metode bayar pakai ponsel y,adanya paypalll aja",neutral,Performance Expectancy
durasinya cuma 8 detik pengen durasi 60 detik tidak bs,neutral,Performance Expectancy
,neutral,Social Influence
sekarang semua negara di kunci,neutral,Facilitating Conditions
bang tolong bikinin video ai tentang kehilangan seseorang,neutral,Performance Expectancy
ai nya bikin bentuk monasnya salah tidak sama dengan bentuk aslinya,negative,Performance Expectancy
cara download videonya gimana bang?,neutral,Performance Expectancy
sayg nya tidak bisa bikin banyak bner2 di batasi,negative,Social Influence
sehari paling bisa bikin 2 atau 3 video,neutral,Effort Expectancy
"bang aku gapakai laptop,gabisa instal vpn nya.apa bisa pakai vpn yanf manapun?",neutral,Performance Expectancy
lah gw dah pro kok tidak ada vidio si bang,negative,Social Influence
macam mana cara nk unsubscribe gimini pro?,neutral,Performance Expectancy
saya sudah batalkan kenapa masih muncul pro di gemini akun saya ? dan masih bisa edit voc? apa ini nanti ada tagiahan atau tidak kakak,neutral,Performance Expectancy
kalo pake vpn ada batas hariannya ngga bang?,neutral,Effort Expectancy
punya saya tidak ada suaranya bang gimana?,negative,Performance Expectancy
sama,neutral,Performance Expectancy
"sama bang,saya juga gada suaranya",negative,Effort Expectancy
"itu masi pake yang veo 2 kynya om,vpn nya blm nyala kyny",negative,Performance Expectancy
"sya sudah pro,tapi masih veo 2 bg,gmna solusi?",neutral,Performance Expectancy
pastikan vpn nya server amerika,neutral,Effort Expectancy
vpn boy​,neutral,Effort Expectancy
pake vpn bang,neutral,Social Influence
"bang tolong baca komenku bisa atau tidak dibuat dengan 2 orang atau lebih,misal dengan rafi ahmad bersama denganku dalam satu video kayak gitu,didalam video aku bersalaman dengan rafi ahmad. misalnya begitu,bang tolong tanggapi request aku ya",neutral,Performance Expectancy
untuk veo 3 versi gemini ini tidak bisa diri sendiri,neutral,Performance Expectancy
"bang kualitas videonya 720p,gimana supaya bisa 1080p ?",neutral,Effort Expectancy
apakah ada batas pembuatan videonya? karena aku coba hanya sampai 3 kali pembuatan videony pakai veo 3,neutral,Performance Expectancy
"saya cuma sampe 8 detik doang,gak lebih",neutral,Performance Expectancy
"itu uji coba sebulan,yang vidio cuma bisa bikin 3 kali aja klo untuk fitur yang lain masih bisa. harusnya abangny jelasin juga tapi sama abangny g di jelasin",neutral,Performance Expectancy
bagaima supaya wajahnya dirubah dengan wajah kita,neutral,Performance Expectancy
​ -f2f ikut nunggu jawaban dr komenan ini,neutral,Effort Expectancy
ada cara biar bikin videonya tidak limit tidak kak? baru buat beberapa udah limit sampai tanggal 6 juni baru bisa buat lagi,neutral,Performance Expectancy
"mas kenapa saya hanya bisa membuat beberapa kali,padahal baru satu hari mohon petunjuk selanjutnya mas",neutral,Performance Expectancy
bang gw udah buat sesuai isi vidio tapi tidak ada suara...,negative,Social Influence
cobain di hp dong bang,neutral,Effort Expectancy
situs nya down,negative,Effort Expectancy
suara nya tidak ada dari yang saya buat... cuma video aja,negative,Performance Expectancy
​ sama cara munculin suaranya gman kak? udah bisa blom,negative,Performance Expectancy
webnya g bisa dibuka kak,neutral,Performance Expectancy
"bang punya saya tidak ada suaranya,tolong dijawab dong",negative,Effort Expectancy
"saya udah coba ikutin tutornya dan lancar semua tapi bahasanya tetep bahasa inggria ya bang,?",negative,Performance Expectancy
"video yang saya bikin cuma sampai 8 detik aja,narasinya jadi terpotong,mohon pencerahan kak",negative,Performance Expectancy
apa memang hasil video nya maksimal 8 detik ya bang?,neutral,Performance Expectancy
berarti tidak gratis itu?,neutral,Performance Expectancy
bang di saya kq tidak ada pilihan video nya yah,negative,Effort Expectancy
aku juga sama tidak ada,negative,Effort Expectancy
kalau di crome android tidak bisa di download ya vpn nya,negative,Effort Expectancy
masih tetep vo2,negative,Effort Expectancy
bang membuat video di vo3 ada batasnya tidak,neutral,Performance Expectancy
tidak bisa pake hp?,neutral,Effort Expectancy
saya curiga host nya ai juga kek nya,negative,Effort Expectancy
wkwkwkwk,neutral,Social Influence
punyaku kok bahasa inggris vidionya,negative,Effort Expectancy
saya sudah buat tetapi tidak punya suara,negative,Social Influence
dajjal: yehee bwooii,neutral,Effort Expectancy
bro bro atau teman-teman yang ada di kolom komen ini kira-kira ea yang aksesnya perlu untuk membaca layar tunanetra apa ya??? yang aksesibel ???,neutral,Performance Expectancy
bang kalo pake hp bisa,neutral,Facilitating Conditions
bang gua udah upgrad ke pro to ko tetep di veo 2 ya...,neutral,Performance Expectancy
��,neutral,Social Influence
klo pke hp tidak bisa ya bang ?,neutral,Performance Expectancy
kak nulisnya bahasa inggris tapi ngomong nya bahasa indonesia,negative,Performance Expectancy
semua ai tetap bayar keculai ai whatsap,neutral,Performance Expectancy
"buatkan prompt untuk veo 3 seseorang wanita cantik dengan background patung habibi dengan seolah ngevlog selfie sambil berbicara tahede ngana ayi piliki,kinapa te lanang ngana beken jadi ba cina dengan sedikit marah",neutral,Performance Expectancy
puny ku kok tidak ada suara nya ya bang,negative,Social Influence
"kenapa hanya gambar ajah ya,bulan video?",neutral,Performance Expectancy
bang klo videonya lagi mempromosikan produk / barang dagangan milik sendiri gmn bang???,neutral,Social Influence
"saya dah coba bang,tapi ko tidak ngomong",negative,Effort Expectancy
apa bisa buatkan video klo bisa berapa biayanya,neutral,Performance Expectancy
"mas,bahas tune ai mas,peraturannya agak ribet,g simple kyk 2025...",negative,Performance Expectancy
trus solisinya apa buat kami yang pemburu gratisan,neutral,Performance Expectancy
"please mas,bantu kami..",neutral,Performance Expectancy
durasinya cmn 8 detik aja ya bang?,neutral,Effort Expectancy
veo 3 sehari bisa berapa x generate ?,neutral,Performance Expectancy
lu pake premium itu namanya bg bukan karna ngaruh vpn,negative,Effort Expectancy
bisa buat yang image to video kak,neutral,Facilitating Conditions
bang ini kusus di pake untuk pc atau leptop ya klo di hp tidak bisa,neutral,Performance Expectancy
aku ko gbisa download vpn nya ya?,negative,Effort Expectancy
stelh nonton ini gua jdi berfikir . bikin film bohkeq di jual dapat cuan dah,positive,Performance Expectancy
"bg itukan batas cuma 8 detik kan bg,kalok kita mau buat 1 video dengan durasi 5 menit gimana bg? atau harus dipisah menjadi beberapa video 8 detik bg? gimana trick nya biar hasilnya konsinsten setiap video sebelum kita gabungin?",neutral,Performance Expectancy
"sekarang udah nga bisa yah? udah coba pakai 3 akun,tak coba gratis dan paket 1 bulan gratis sudah aktif malah suruh aktifasi lagi dan bayar 300k",neutral,Performance Expectancy
bg emg batasannya cuman 3 kali generate tiap hari yah?,neutral,Performance Expectancy
