comment,sentiment,dominant_construct
temen-temen yang mau prompt yang kupakai silahkan kunjungi,neutral,Effort Expectancy
harus pake vpn?,neutral,Performance Expectancy
"mas,bahas tune ai mas,peraturannya agak ribet,g simple kyk 2025...",negative,Performance Expectancy
trus solisinya apa buat kami yang pemburu gratisan,neutral,Performance Expectancy
"please mas,bantu kami..",neutral,Performance Expectancy
"email asli saya pernah menggunakan trial tapi kreditnya sudah habis,saya ganti email baru kok g bisa dapet trial gratisan lagi ya,bagaimana caranya biar dapet",neutral,Effort Expectancy
pikiran nya udah jaaht duluan,negative,Effort Expectancy
gw tidak bsa install vpn yang di chromenya,negative,Facilitating Conditions
bang mau nanya aku ada tugas video ai disuruh bahas tentang kerajaan dan durasi nya lumayang panjang 7 menitan itu gimana ya bang,neutral,Social Influence
"bang ko punya ku g ada metode bayar pakai ponsel y,adanya paypalll aja",neutral,Performance Expectancy
durasinya cuma 8 detik pengen durasi 60 detik tidak bs,neutral,Effort Expectancy
,neutral,Effort Expectancy
sekarang semua negara di kunci,neutral,Performance Expectancy
bang tolong bikinin video ai tentang kehilangan seseorang,neutral,Social Influence
ai nya bikin bentuk monasnya salah tidak sama dengan bentuk aslinya,negative,Social Influence
cara download videonya gimana bang?,neutral,Effort Expectancy
sayg nya tidak bisa bikin banyak bner2 di batasi,negative,Performance Expectancy
sehari paling bisa bikin 2 atau 3 video,neutral,Effort Expectancy
"bang aku gapakai laptop,gabisa instal vpn nya.apa bisa pakai vpn yanf manapun?",neutral,Effort Expectancy
lah gw dah pro kok tidak ada vidio si bang,negative,Effort Expectancy
macam mana cara nk unsubscribe gimini pro?,neutral,Effort Expectancy
saya sudah batalkan kenapa masih muncul pro di gemini akun saya ? dan masih bisa edit voc? apa ini nanti ada tagiahan atau tidak kakak,neutral,Performance Expectancy
kalo pake vpn ada batas hariannya ngga bang?,neutral,Performance Expectancy
punya saya tidak ada suaranya bang gimana?,negative,Social Influence
sama,neutral,Effort Expectancy
"sama bang,saya juga gada suaranya",negative,Effort Expectancy
"itu masi pake yang veo 2 kynya om,vpn nya blm nyala kyny",negative,Social Influence
"sya sudah pro,tapi masih veo 2 bg,gmna solusi?",neutral,Performance Expectancy
pastikan vpn nya server amerika,neutral,Social Influence
vpn boy​,neutral,Effort Expectancy
pake vpn bang,neutral,Social Influence
"bang tolong baca komenku bisa atau tidak dibuat dengan 2 orang atau lebih,misal dengan rafi ahmad bersama denganku dalam satu video kayak gitu,didalam video aku bersalaman dengan rafi ahmad. misalnya begitu,bang tolong tanggapi request aku ya",neutral,Performance Expectancy
untuk veo 3 versi gemini ini tidak bisa diri sendiri,neutral,Performance Expectancy
"bang kualitas videonya 720p,gimana supaya bisa 1080p ?",neutral,Facilitating Conditions
apakah ada batas pembuatan videonya? karena aku coba hanya sampai 3 kali pembuatan videony pakai veo 3,neutral,Effort Expectancy
"saya cuma sampe 8 detik doang,gak lebih",neutral,Performance Expectancy
"itu uji coba sebulan,yang vidio cuma bisa bikin 3 kali aja klo untuk fitur yang lain masih bisa. harusnya abangny jelasin juga tapi sama abangny g di jelasin",neutral,Effort Expectancy
bagaima supaya wajahnya dirubah dengan wajah kita,neutral,Performance Expectancy
​ -f2f ikut nunggu jawaban dr komenan ini,neutral,Performance Expectancy
ada cara biar bikin videonya tidak limit tidak kak? baru buat beberapa udah limit sampai tanggal 6 juni baru bisa buat lagi,neutral,Social Influence
"mas kenapa saya hanya bisa membuat beberapa kali,padahal baru satu hari mohon petunjuk selanjutnya mas",neutral,Performance Expectancy
bang gw udah buat sesuai isi vidio tapi tidak ada suara...,negative,Performance Expectancy
cobain di hp dong bang,neutral,Performance Expectancy
situs nya down,negative,Effort Expectancy
suara nya tidak ada dari yang saya buat... cuma video aja,negative,Performance Expectancy
​ sama cara munculin suaranya gman kak? udah bisa blom,neutral,Effort Expectancy
webnya g bisa dibuka kak,negative,Facilitating Conditions
"bang punya saya tidak ada suaranya,tolong dijawab dong",negative,Social Influence
"saya udah coba ikutin tutornya dan lancar semua tapi bahasanya tetep bahasa inggria ya bang,?",negative,Effort Expectancy
"video yang saya bikin cuma sampai 8 detik aja,narasinya jadi terpotong,mohon pencerahan kak",neutral,Performance Expectancy
apa memang hasil video nya maksimal 8 detik ya bang?,neutral,Effort Expectancy
berarti tidak gratis itu?,neutral,Social Influence
bang di saya kq tidak ada pilihan video nya yah,negative,Performance Expectancy
aku juga sama tidak ada,negative,Effort Expectancy
kalau di crome android tidak bisa di download ya vpn nya,negative,Effort Expectancy
masih tetep vo2,negative,Facilitating Conditions
bang membuat video di vo3 ada batasnya tidak,neutral,Performance Expectancy
tidak bisa pake hp?,neutral,Effort Expectancy
saya curiga host nya ai juga kek nya,neutral,Effort Expectancy
wkwkwkwk,neutral,Effort Expectancy
punyaku kok bahasa inggris vidionya,negative,Effort Expectancy
saya sudah buat tetapi tidak punya suara,negative,Performance Expectancy
dajjal: yehee bwooii,negative,Performance Expectancy
bro bro atau teman-teman yang ada di kolom komen ini kira-kira ea yang aksesnya perlu untuk membaca layar tunanetra apa ya??? yang aksesibel ???,neutral,Facilitating Conditions
bang kalo pake hp bisa,neutral,Effort Expectancy
bang gua udah upgrad ke pro to ko tetep di veo 2 ya...,neutral,Performance Expectancy
��,neutral,Effort Expectancy
klo pke hp tidak bisa ya bang ?,neutral,Effort Expectancy
kak nulisnya bahasa inggris tapi ngomong nya bahasa indonesia,negative,Effort Expectancy
semua ai tetap bayar keculai ai whatsap,neutral,Effort Expectancy
"buatkan prompt untuk veo 3 seseorang wanita cantik dengan background patung habibi dengan seolah ngevlog selfie sambil berbicara tahede ngana ayi piliki,kinapa te lanang ngana beken jadi ba cina dengan sedikit marah",neutral,Performance Expectancy
puny ku kok tidak ada suara nya ya bang,negative,Effort Expectancy
"kenapa hanya gambar ajah ya,bulan video?",neutral,Effort Expectancy
bang klo videonya lagi mempromosikan produk / barang dagangan milik sendiri gmn bang???,neutral,Effort Expectancy
"saya dah coba bang,tapi ko tidak ngomong",negative,Effort Expectancy
apa bisa buatkan video klo bisa berapa biayanya,neutral,Performance Expectancy
"mas,bahas tune ai mas,peraturannya agak ribet,g simple kyk 2025...",negative,Performance Expectancy
trus solisinya apa buat kami yang pemburu gratisan,neutral,Performance Expectancy
"please mas,bantu kami..",neutral,Performance Expectancy
durasinya cmn 8 detik aja ya bang?,neutral,Effort Expectancy
veo 3 sehari bisa berapa x generate ?,neutral,Effort Expectancy
lu pake premium itu namanya bg bukan karna ngaruh vpn,negative,Performance Expectancy
bisa buat yang image to video kak,neutral,Social Influence
bang ini kusus di pake untuk pc atau leptop ya klo di hp tidak bisa,neutral,Social Influence
aku ko gbisa download vpn nya ya?,negative,Effort Expectancy
stelh nonton ini gua jdi berfikir . bikin film bohkeq di jual dapat cuan dah,positive,Performance Expectancy
"bg itukan batas cuma 8 detik kan bg,kalok kita mau buat 1 video dengan durasi 5 menit gimana bg? atau harus dipisah menjadi beberapa video 8 detik bg? gimana trick nya biar hasilnya konsinsten setiap video sebelum kita gabungin?",neutral,Performance Expectancy
"sekarang udah nga bisa yah? udah coba pakai 3 akun,tak coba gratis dan paket 1 bulan gratis sudah aktif malah suruh aktifasi lagi dan bayar 300k",neutral,Effort Expectancy
bg emg batasannya cuman 3 kali generate tiap hari yah?,neutral,Effort Expectancy
"thx bang,ai emang sengeri itu sih wkwoakowkoa",positive,Social Influence
anda asli atau tidak bos,neutral,Performance Expectancy
min knpa aku tidak ad tulisan vidionya,negative,Effort Expectancy
ko aku nyoba video ai suaranya malah inggris bukan indo,negative,Effort Expectancy
durasinya kenapa 8 detik aja bang enggak bisa 1 menit/5menit,neutral,Effort Expectancy
untuk durasi vidio bisa lebih dari 8 detik tidak bang,neutral,Performance Expectancy
"tempat ku tidak ada video,adanya foto sama teks",neutral,Performance Expectancy
"kadang heran mau bangga atau miris sama kemajuan teknologi sekarang,semuanya terasa cepet selesai tapi sebagian yang lain salah menggunakannya",negative,Performance Expectancy
wah sayang terlalu ribet bang harus pakai lectop yang ngk pumya ngk bisa dong,negative,Social Influence
bang cara ngerubah orang berbicaranya dimana yaa ko sya buat ngomongnya malah bahasa inggrisbukan bahasa indonesia,negative,Effort Expectancy
"bang aku kok gada opsi pembayaran pakai shopeepay atau gopay bang,gmna solusinya",negative,Performance Expectancy
udah coba klaim gratis 1 bulan belum?,neutral,Social Influence
bang kok punyaku ngomongnya pake bahasa inggris bng gi mna cara buat bahasa indonesia bg,negative,Social Influence
bang vpn nya tidak bisa ya yang versi seluler..,negative,Social Influence
cuman 8 detik. bacot,neutral,Effort Expectancy
harus pake gemini pro ya bang,neutral,Effort Expectancy
udah gabisa metode pembayaranya udh dirubah,neutral,Effort Expectancy
bisa lebih dari 8 detik durasinya ?,neutral,Performance Expectancy
bisa lebih dari 8 detik durasi nya ?,neutral,Performance Expectancy
bang vpn nya gratis bang atau gimana,neutral,Social Influence
terimaksih info nya,positive,Performance Expectancy
"saya mau belajar,ada ada buka kelas khusus,atau private",neutral,Performance Expectancy
"saya pake metode dana,tapi ko tetep gabisa yah",neutral,Performance Expectancy
di aku kok tetep tidak ada ya bang videonya,negative,Effort Expectancy
makasih bang ini tutorial paling jelas,positive,Effort Expectancy
"pas nyoba,koq pakai bahasa inggris dis",neutral,Performance Expectancy
"min,gmn cara buat vidio seperti ditiktok yang judulnya santri pekok",neutral,Effort Expectancy
durasi nya tidak bisa panjang ya ?,negative,Effort Expectancy
d saya ko hasilnya pke b.inggris bang,neutral,Performance Expectancy
lewat hp bisa?,neutral,Effort Expectancy
kalau videonya durasinya lama bisa tidak ? 30 menit gitu,neutral,Effort Expectancy
"punyaku kok tidak kluar audionya ya om,padahal udah ngikutin prompt nya.",negative,Performance Expectancy
"punya lo udah pro bang,hadehhh",neutral,Performance Expectancy
salam kelan bang,neutral,Social Influence
ini wajib pakai desktop atau bisa pakai android kaka,neutral,Effort Expectancy
makasih sharing ilmunya bang.,positive,Performance Expectancy
bermanfaat sekali,positive,Social Influence
"sekarang buat email mest scan barcode nomor hp,trik ini sudah tidak bisa digunakan",neutral,Effort Expectancy
cuma akun pro doang yang bisa,neutral,Effort Expectancy
tapi hasilnya kok bahasa inggris ya bukan bahasa indonesia ??? tolong pencerahannya suhu ?,negative,Performance Expectancy
"gratis dari hongkong,itu punyamu itu pro",neutral,Performance Expectancy
videonya maks 8 detik saja kah?,neutral,Effort Expectancy
"bang,minta link video biar karakternya konsisten",neutral,Social Influence
bang saya udah gemini pro tapi belum veo 3 ?,neutral,Effort Expectancy
kalo pake ip gimana bang notifnya lari kemana,neutral,Facilitating Conditions
kalau ingin durasi video lebih dari 8 detik caranya gimana?,neutral,Effort Expectancy
"terimakasih bang tutor nya,moga berkah ilmu nya bg,amal jariyah buat abang",positive,Performance Expectancy
"bang,di gemini aku kok gada fitur buat bikin vidionya?",neutral,Social Influence
cuma ada gambar aja.,neutral,Effort Expectancy
bagaimana?,neutral,Effort Expectancy
